Density inversion

Bracketing minimum ...
difDens dens DRV RMS
-70 2600 0.5468840719 2.043516134 
-69 2601 0.5446973748 2.035344495 
-67.382 2602.618034 0.5411592245 2.022122506 
-52.8197 2617.18034 0.5093192677 1.903124654 
78.2411 2748.241094 0.2229321064 0.8321534764 
1257.79 3927.78788 2.356973925 8.806763612 
Bracketing elapsed time: 0s

Fitting ...
Fitting characteristic: 1
Brent method
difDens dens DRV RMS
78.2411 2748.241094 0.2229321064 0.8321534764 
528.788 3198.787862 0.7626836115 2.849610171 
250.335 2920.334641 0.1541231918 0.5742110967 
199.127 2869.127434 0.0429665212 0.1558734096 
173.689 2843.68943 0.01526411214 0.05260624168 
137.231 2807.231411 0.0942404628 0.3501425945 
176.055 2846.055014 0.01022400546 0.03353884548 
182.506 2852.506372 0.007353042869 0.02106251646 
188.855 2858.855052 0.02087697731 0.07210912165 
180.445 2850.444591 0.003041740258 0.007549253341 
179.666 2849.665823 0.0027534846 0.00765962004 
179.75 2849.749727 0.002594950433 0.007388892249 
179.998 2849.998294 0.002204598771 0.006931436693 
180.169 2850.168765 0.002491459076 0.006951417212 
179.975 2849.975152 0.002220829785 0.006950277781 
180.015 2850.015201 0.002213126665 0.006920907078 
179.998 2849.998371 0.002204580036 0.006931382851 
180.001 2850.001082 0.002204012575 0.006929512094 
180.006 2850.006475 0.002204289209 0.006925999663 
180.003 2850.002981 0.002203749974 0.006928243513 
180.003 2850.003306 0.002203708026 0.006928029988 
180.005 2850.004516 0.002203714756 0.006927243115 
180.004 2850.003879 0.002203656257 0.006927655397 
180.004 2850.003893 0.002203656205 0.00692764681 
180.004 2850.0039 0.002203656177 0.006927642358 
180.004 2850.004135 0.002203675764 0.006927489431 
180.004 2850.00399 0.00220366087 0.006927583882 
180.004 2850.003934 0.002203656437 0.006927620013 
180.004 2850.003913 0.002203656126 0.006927633822 
180.004 2850.003921 0.002203656093 0.006927628547 
180.004 2850.003926 0.002203656163 0.006927625038 
Fitting elapsed time: 0s
